epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,10913.2,0.43383,0.23675,0.83877,0.97406,0.90113,0.95701,0.85685,0.4967,0.24706,0.83398,0.0002774,0.0002774,0.0002774
89,11083,0.43605,0.23824,0.83729,0.96886,0.90768,0.9582,0.85128,0.51765,0.25571,0.83685,0.0002576,0.0002576,0.0002576
90,11531.5,0.43091,0.23456,0.83668,0.97,0.90438,0.95671,0.85354,0.50727,0.25348,0.83544,0.0002378,0.0002378,0.0002378
91,11961.7,0.39359,0.20944,0.79495,0.98564,0.88968,0.95454,0.84999,0.50767,0.25566,0.83795,0.000218,0.000218,0.000218
92,12407.4,0.3904,0.20709,0.79571,0.96866,0.90166,0.9585,0.85088,0.50524,0.25265,0.83619,0.0001982,0.0001982,0.0001982
93,12468.4,0.38486,0.20424,0.79668,0.97216,0.90551,0.95838,0.85072,0.5089,0.2576,0.83712,0.0001784,0.0001784,0.0001784
94,12536.9,0.38558,0.20498,0.79445,0.96749,0.90276,0.95437,0.85114,0.50478,0.2554,0.83474,0.0001586,0.0001586,0.0001586
95,12709.5,0.3822,0.20276,0.79181,0.95764,0.91605,0.9574,0.85241,0.50495,0.25183,0.83436,0.0001388,0.0001388,0.0001388
96,12821.2,0.38065,0.20233,0.79328,0.96794,0.906,0.95584,0.8516,0.50701,0.25149,0.83403,0.000119,0.000119,0.000119
97,13025,0.3813,0.20069,0.7937,0.96888,0.90816,0.95726,0.85404,0.50379,0.25125,0.83433,9.92e-05,9.92e-05,9.92e-05
98,13194.4,0.37667,0.19876,0.79205,0.96885,0.90728,0.95656,0.85252,0.50272,0.25329,0.8356,7.94e-05,7.94e-05,7.94e-05
99,13405.4,0.37475,0.19837,0.79201,0.96408,0.91355,0.95694,0.85336,0.50469,0.25288,0.83613,5.96e-05,5.96e-05,5.96e-05
100,13578.4,0.37569,0.19784,0.7933,0.96889,0.90872,0.95762,0.85531,0.502,0.2509,0.83574,3.98e-05,3.98e-05,3.98e-05
